
                                             CodeAnalysis
    ==============================================================================================
     Mon Feb  6 23:35:00 2017
     Path: "C:\Users\Varun\Documents\Visual Studio 2015\Projects\Remote_TestHarness"
     Args: *.h, *.cpp, *.cs, Remote_TestHarness.sln, Remote_TestHarness.sln, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
            CommService.cs    function                        PostMessage     101       4       1
            CommService.cs    function                         GetMessage     111       5       1
            CommService.cs       class                               Comm     119      33       9
            CommService.cs    function                               Comm     127       4       1
            CommService.cs    function                       makeEndPoint     132       4       1
            CommService.cs    function                           thrdProc     139      11       3
            CommService.cs       class                             Sender     153     109      16
            CommService.cs    function                         ThreadProc     166      37       7
            CommService.cs    function                             Sender     205       6       1
            CommService.cs    function                  CreateSendChannel     213       8       1
            CommService.cs    function                        PostMessage     223       3       1
            CommService.cs    function                       GetLastError     228       5       1
            CommService.cs       class                                Cat     234       3       1
            CommService.cs       class                           TestComm     237      24       2
            CommService.cs    function                               Main     240      18       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             HiResTimer.cs   namespace                 Remote_TestHarness      47      80      14
             HiResTimer.cs       class                         HiResTimer      49      68      12
             HiResTimer.cs    function                         HiResTimer      53       5       1
             HiResTimer.cs    function                              Start      96       4       1
             HiResTimer.cs    function                               Stop     102       4       1
             HiResTimer.cs    function                               main     118       7       1
             HiResTimer.cs   namespace                 Remote_TestHarness      47      80      14
             HiResTimer.cs       class                         HiResTimer      49      68      12
             HiResTimer.cs    function                         HiResTimer      53       5       1
             HiResTimer.cs    function                              Start      96       4       1
             HiResTimer.cs    function                               Stop     102       4       1
             HiResTimer.cs    function                               main     118       7       1
             HiResTimer.cs   namespace                 Remote_TestHarness      47      80      14
             HiResTimer.cs       class                         HiResTimer      49      68      12
             HiResTimer.cs    function                         HiResTimer      53       5       1
             HiResTimer.cs    function                              Start      96       4       1
             HiResTimer.cs    function                               Stop     102       4       1
             HiResTimer.cs    function                               main     118       7       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          ICommunicator.cs   namespace                 Remote_TestHarness      40      12       2
          ICommunicator.cs   interface                      ICommunicator      43       8       1

